Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
ADC JAPATA,,	2014-01-01,,Operational,Unknown,Land (fixed),0-404-300-261370680RA34105|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.2048,34.7966,1972,GPS,UTC+3,KENYA METEOROLOGICAL DEPARTMENT,,,,,,,,,Non-affiliated:Operational,	2024-06-03,Anne Kamau
AIC Churo Girls  High School,,	2021-11-29,,Operational,Unknown,Land (fixed),0-404-300-301570787AS00074|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.7668,36.4056,1798,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
ALUPE,,	2020-09-22,,Operational,Unknown,Land (fixed),"0-404-300-402261127AS63663|primary,0-404-0-63663",Africa,EAC (Kenya & Tanzania),Kenya,0.497,34.1252,1161,GPS,UTC+3,Kenyan Meteorological Department,,,,Equatorial rainforest - fully humid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of high altitude,,GOS General:Operational,	2023-06-26,Anne Kamau
Ainabkoi KCC Plant,,	2021-11-18,,Operational,Unknown,Land (fixed),0-404-300-271440721AS00049|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.1601,35.5204,2635,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Arror Irrigation scheme (Agromet),,	2021-11-29,,Operational,Unknown,Land (fixed),0-404-300-281480740AS00057|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.9388,35.625,1034,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Ausquest Farm,,	2022-09-25,,Unknown,Silent,Land (fixed),0-404-300-160800395AS00001|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.566213369,37.10015869,1628,(unknown),UTC+3,,,,,,,,,,Non-affiliated,	2023-10-31,Anne Kamau
BOMET,,	2020-09-21,,Partly operational,Unknown,Land (fixed),0-404-0-63707|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.714732,35.3833,2156,GPS,UTC+3,Kenyan Meteorological Department,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of high altitude,,GOS General:Pre-operational,	2022-05-11,Philip Kimutai Koske
BORANA CENTER,,	2001-01-01,,Unknown,Unknown,Land (fixed),0-404-300-311650825RA37123|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.2354,37.3172,1954,GPS,UTC+3,Kenya Meteorological Department,,,,,,,,,Non-affiliated,	2024-02-06,JAMES KAIGUA
BUMULA,,	2020-09-21,,Partly operational,Unknown,Land (fixed),"0-404-300-392191090AS63662|primary,0-404-0-63662",Africa,EAC (Kenya & Tanzania),Kenya,0.3253,34.2743,1344,GPS,UTC+3,Kenyan Meteorological Department,,,,Equatorial rainforest - fully humid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of high altitude,,GOS General:Pre-operational,	2023-05-12,Anne Kamau
BURA,,	2020-09-21,,Partly operational,Unknown,Land (fixed),0-404-0-63721|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.099,39.949,560,GPS,UTC+3,Kenyan Meteorological Department,,,,Desert - Hot arid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,,GOS General:Pre-operational,	2022-05-24,Philip Kimutai Koske
